Movie_ID	title	runtime	theatre_count
632	eighth day of a week the (china) (2017)	95.0	
633	eat locals (uk) (2017)	94.0	
634	drawing home	112.0	
635	camino a marte (mexico)	93.0	
636	disaster artist the	98.0	19.0
637	daisy winters (2017)	91.0	
638	breaking brooklyn	97.0	
639	dian di lian meng (china) (2017)	97.0	
640	bolshoi ballet the nutcracker (2017 russia)	135.0	
641	souvenir the movie mariya takeuchi theater live (japan) (2018)	94.0	
642	superlopez (spain)(2018)	108.0	
643	seguimi (italy) (2018)	90.0	
644	save my dogs (china) (2018)		
645	sirdys (lithuania)(2018)	110.0	
646	strange colours (oz)(2018)	85.0	
647	royal edinburgh military tattoo the (uk) (2018)	59.0	
648	rang panjab (india) (2018)	123.0	
649	put seylere (turkey) (2018)	100.0	
650	on the basis of sex (2018)	118.0	33.0
651	qi pao xian sheng (china) (2017)	90.0	
652	na stojaka v kine (cz)(2018)	90.0	
653	mimi a liza zahada vianocneho svetla (slovakia)(2018)	65.0	
654	pattinapakkam (india)(2018)	134.0	
655	milosc jest wszystkim (poland) (2018)	130.0	
656	nativity rocks (uk)(2018)	100.0	
657	maniac tales (spain)(2018)	108.0	
658	marriage palace (india)(2018)	135.0	
