title,international_box_office,domestic_box_office,worldwide_box_office,production_budget,normalized_title,Movie_ID
spindl,2277204,,2277204,,spindl,252
sakka podu podu raja,1944,,1944,,sakka podu podu raja,253
romans,2741,,2741,,romans,254
chun tian de ma la song,1371255,,1371255,,chun tian de ma la song,255
rangreza,56979,,56979,,rangreza,256
seven fright nights,94532,,94532,,seven fright nights,257
la promesse de l aube,9181824,,9181824,,la promesse de l aube,258
muumien joulu,515414,,515414,,muumien joulu,259
the post,97865999,81903458,179769457,50000000,the post,260
quiz s hoy,282,,282,,quiz s hoy,261
mult v kino vypusk no 65,56677,,56677,,mult v kino vypusk no 65,262
miseinen dakedo kodomo janai,5146046,,5146046,,miseinen dakedo kodomo janai,263
molly s game,24515680,28780744,53296424,30000000,molly s game,264
lesa humanitat,2216,,2216,,lesa humanitat,265
mart lar n efendisi,199953,,199953,,mart lar n efendisi,266
hotel infierno,3784,,3784,,hotel infierno,267
huisvrouwen bestaan niet,3239032,,3239032,,huisvrouwen bestaan niet,268
jing hun qi you,114402,,114402,,jing hun qi you,269
hostiles,7157222,29819114,36976336,50000000,hostiles,270
hello,4394131,,4394131,,hello,271
gordon paddy,96264,,96264,,gordon paddy,272
garde altern e,3907930,,3907930,,garde altern e,273
d s kirginlari,2510,,2510,,d s kirginlari,274
the cbeebies christmas show thumbelina,274407,,274407,,the cbeebies christmas show thumbelina,275
father figures,3537197,17501244,21038441,25000000,father figures,276
bon bini holland 2,8664726,,8664726,,bon bini holland 2,277
beyond white space,,,,,beyond white space,278
bana bir soygun yaz 2,182040,,182040,,bana bir soygun yaz 2,279
bhajjo veero ve,103289,,103289,,bhajjo veero ve,280
hangman,104503,,104503,,hangman,281
antidote,,,,,antidote,282
andre rieu s sydney town hall concert an australian celebration,2806603,,2806603,,andre rieu s sydney town hall concert an australian celebration,283
singsu,,,,,singsu,284
maine,,,,,maine,285
why are we creative the centipede s dilemma,95567,,95567,,why are we creative the centipede s dilemma,286
il testimone invisibile,6750631,,6750631,,il testimone invisibile,287
a k bu mu,60183,,60183,,a k bu mu,288
khrustal,63603,,63603,,khrustal,289
owarani hito miyazaki hayao,,187320,,,owarani hito miyazaki hayao,290
bumblebee,338000000,127195589,465195589,102000000,bumblebee,291
bird box,,,,19800000,bird box,292
un beau voyou,501368,,501368,,un beau voyou,293
the photographer,3042381,,3042381,,the photographer,294
spider man into the spider verse 3d,184911728,190173195,375084923,90000000,spider man into the spider verse 3d,295
roma,1109544,,1109544,15000000,roma,296
the gaelic curse,,,,,the gaelic curse,297
pachamama,1866211,,1866211,,pachamama,298
r mi sans famille,7395953,,7395953,,r mi sans famille,299
deadman standing,,,,,deadman standing,300
dawning,16504,,16504,,dawning,301
dr huang danian,1420000,,1420000,,dr huang danian,302
downsizing,30013217,24449754,54462971,68000000,downsizing,303
doctor who twice upon a time,223498,,223498,,doctor who twice upon a time,304
cuando los hijos regresan,2906566,,2906566,,cuando los hijos regresan,305
belal lar,257,,257,,belal lar,306
arth the destination,13503,,13503,,arth the destination,307
before i die,35841,,35841,,before i die,308
ac tatl ek i,1957225,,1957225,,ac tatl ek i,309
aadu 2,4273904,,4273904,,aadu 2,310
the lucky man,,25015,,,the lucky man,311
pitch perfect 3,80838882,104897530,185736412,45000000,pitch perfect 3,312
masterpiece,2787298,,2787298,,masterpiece,313
mca middle class abbayi,9939186,,9939186,,mca middle class abbayi,314
ji qi zhi xue,47872755,,47872755,,ji qi zhi xue,315
xin li zui zhi cheng shi zhi guang,35045171,,35045171,,xin li zui zhi cheng shi zhi guang,316
namiya,35288134,39584,35327718,,namiya,317
jumanji welcome to the jungle,557104283,404508916,961613199,90000000,jumanji welcome to the jungle,318
jumanji welcome to the jungle,557104283,404508916,961613199,90000000,jumanji welcome to the jungle,31497
el zoco de la buri buri,467,,467,,el zoco de la buri buri,319
y kai watch 4,18395457,,18395457,,y kai watch 4,320
dieses bescheuerte herz,20096261,,20096261,,dieses bescheuerte herz,321
das versprechen,,,,,das versprechen,322
unexpectedly yours,45997,,45997,,unexpectedly yours,323
super vacanze di natale,464275,,464275,,super vacanze di natale,324
holiday inn the new irving berlin musical,14312,,14312,,holiday inn the new irving berlin musical,325
buttons,,,,,buttons,326
yuan qu de mu ge,1440000,,1440000,,yuan qu de mu ge,327
subrahmanyapuram,1167,,1167,,subrahmanyapuram,328
son k,3308,,3308,,son k,329
the snowman and the snowdog,51844,,51844,,the snowman and the snowdog,330
vox lux,556862,727119,1283981,,vox lux,331
mult v kino vypusk no 86,101015,,101015,,mult v kino vypusk no 86,332
second act,24006627,39282227,63288854,15700000,second act,333
el rey,48259,,48259,,el rey,334
eytan ge idi enhara,12210,,12210,,eytan ge idi enhara,335
pupille,6826186,1737,6827923,,pupille,336
racetime,1291454,,1291454,,racetime,337
por amor al arte,336,,336,,por amor al arte,338
a christmas carol,441322,,441322,,a christmas carol,192
parque mayer,250365,,250365,,parque mayer,339
paran n kokusu,287,,287,,paran n kokusu,340
norm of the north keys to the kingdom,1091551,,1091551,,norm of the north keys to the kingdom,341
the party s just beginning,226,4145,4371,,the party s just beginning,342
ruleta rusa,13752,,13752,,ruleta rusa,343
mountain rest,,,,,mountain rest,344
sundowners,,,,,sundowners,345
mi peque o gran hombre,1529896,,1529896,,mi peque o gran hombre,346
poyraz karayel k resel sermaye,54455,,54455,,poyraz karayel k resel sermaye,347
permanent,,12847,,,permanent,348
papita 2da base,41950000,,41950000,,papita 2da base,349
poveri ma ricchissimi,7396878,,7396878,,poveri ma ricchissimi,350
pescadores,645,,645,,pescadores,351
old beast,311678,,311678,,old beast,352
ni a perro,505,,505,,ni a perro,353
novogodniy perepolokh,952127,,952127,,novogodniy perepolokh,354
natale da chef,3270987,,3270987,,natale da chef,355
monsoon shootout,93721,,93721,,monsoon shootout,356
the midnight man,2526184,,2526184,,the midnight man,357
muchos hijos un mono y un castillo,643281,,643281,,muchos hijos un mono y un castillo,358
masoch el camino del perro,408,,408,,masoch el camino del perro,359
maria by callas,1530974,1264409,2795383,,maria by callas,360
journey of bhangover,1760,,1760,,journey of bhangover,361
hard kaur,3162,,3162,,hard kaur,362
nona,,,,,nona,363
k3 love cruise,1081993,,1081993,,k3 love cruise,364
game of ayodhya,5152,,5152,,game of ayodhya,365
dr les de petites b tes,14163162,,14163162,,dr les de petites b tes,366
papatya,2057,,2057,,papatya,367
ek andekha sach,1992,,1992,,ek andekha sach,368
merry men the real yoruba demons,4315,,4315,,merry men the real yoruba demons,369
love live sunshine aqours 4th lovelive sailing to the sunshine,13640,,13640,,love live sunshine aqours 4th lovelive sailing to the sunshine,370
mary queen of scots,30371647,16648499,47020146,25000000,mary queen of scots,371
ma m re est folle,447679,,447679,,ma m re est folle,372
left hand and right hand,3346,,3346,,left hand and right hand,373
love afterlife,36540,,36540,,love afterlife,374
la scala attila,33873,,33873,,la scala attila,375
la ltima b squeda,773,,773,,la ltima b squeda,376
kafalar kar k,1979548,,1979548,,kafalar kar k,377
kuru,5041160,,5041160,,kuru,378
kedarnath,293850,893582,1187432,,kedarnath,379
hospitality,,,,,hospitality,380
frank and ava,,18829,,,frank and ava,381
jin ji de nan hai,65446,,65446,,jin ji de nan hai,382
gekijoban haikara san ga toru zenpen tokyo dai roman,,,,,gekijoban haikara san ga toru zenpen tokyo dai roman,383
eso que nos enamora,4650,,4650,,eso que nos enamora,384
eia j ulud tondikakul,,,,,eia j ulud tondikakul,385
elephants,,,,,elephants,386
el dulce sabor del limon,349,,349,,el dulce sabor del limon,387
dumplin,399198,,399198,13000000,dumplin,388
devushka s kosoy,47374,,47374,,devushka s kosoy,389
drug,,,,,drug,390
la deuxi me toile,3320313,,3320313,,la deuxi me toile,391
los desheredados,902,,902,,los desheredados,392
desolation,,,,,desolation,393
blizkie,2043,,2043,,blizkie,394
the ballad of lefty brown,,7856,,,the ballad of lefty brown,395
the chainbreakers,282320,,282320,,the chainbreakers,396
8 nengoshi no hanayome,24326715,,24326715,,8 nengoshi no hanayome,397
instant dreams,,,,,instant dreams,398
algo fay,1190,,1190,,algo fay,399
rilu rilu fairilu the movie,422386,,422386,,rilu rilu fairilu the movie,400
ai de pa si ka,512000,,512000,,ai de pa si ka,401
bright,,,,90000000,bright,402
a murder in mansfield,,,,,a murder in mansfield,403
dolgaya doroga domoy,70,,70,,dolgaya doroga domoy,404
star wars ep viii the last jedi,711453759,620181382,1331635141,262000000,star wars ep viii the last jedi,405
along with the gods the two worlds,105567909,1908822,107476731,,along with the gods the two worlds,406
divide and conquer the story of roger ailes,,38510,,,divide and conquer the story of roger ailes,407
divide and conquer the story of roger ailes,,38510,,,divide and conquer the story of roger ailes,30773
les confins du monde,245034,,245034,,les confins du monde,408
apache warrior,,,,,apache warrior,409
the coming back out ball movie,7072,,7072,,the coming back out ball movie,410
gangcheolbi,33276122,,33276122,,gangcheolbi,411
chaco,489,,489,,chaco,412
the greatest showman,259266004,174340174,433606178,84000000,the greatest showman,413
central park,,,,,central park,414
la boya,5013,,5013,,la boya,415
ert brko,1641333,,1641333,,ert brko,416
bernie the dolphin,18119,,18119,,bernie the dolphin,417
ben is back,8913813,3703182,12616995,13000000,ben is back,418
bizim in ampiyon,6003561,,6003561,,bizim in ampiyon,419
banjara the truck driver,49757,,49757,,banjara the truck driver,420
back roads,,,,,back roads,421
ast rix le secret de la potion magique,73237594,,73237594,,ast rix le secret de la potion magique,422
asher,,,,,asher,423
the belly of the whale,9626,,9626,,the belly of the whale,424
apuntes para una pel cula de atracos,12023,,12023,,apuntes para una pel cula de atracos,425
zapovednik,166535,,166535,,zapovednik,426
uch sentai kyuurenj tai sup su sukuwaddo,60372,,60372,,uch sentai kyuurenj tai sup su sukuwaddo,427
twiceland,136516,,136516,,twiceland,428
tabaluga,4835711,,4835711,,tabaluga,429
la prima pietra,420807,,420807,,la prima pietra,430
sem par nechistikh,12029,,12029,,sem par nechistikh,431
santiago italia,1106813,,1106813,,santiago italia,432
tueurs,309477,,309477,,tueurs,433
stebuklas,97649,,97649,,stebuklas,434
stars 80 la suite,1978927,,1978927,,stars 80 la suite,435
los sentidos,1962,,1962,,los sentidos,436
qi man dun jia,46139046,124187,46263233,,qi man dun jia,437
richie,10815,,10815,,richie,438
all you need is love,3565259,,3565259,300000,all you need is love,439
the rape of recy taylor,7729,,7729,,the rape of recy taylor,440
un pueblo hecho canci n,645,,645,,un pueblo hecho canci n,441
the pirates of somalia,26421,,26421,,the pirates of somalia,442
santa cie,18481089,,18481089,,santa cie,443
teki taraf,1197507,,1197507,,teki taraf,444
zhgi,313100,,313100,,zhgi,445
november criminals,,,,,november criminals,446
on adim,251,,251,,on adim,447
national theatre live young marx,716418,,716418,,national theatre live young marx,448
maide nin alt n g n,2512221,,2512221,,maide nin alt n g n,449
makala,127277,,127277,,makala,450
lerd,915073,,915073,,lerd,451
royal opera house the nutcracker,1635471,,1635471,,royal opera house the nutcracker,452
the north of peking,143865,,143865,,the north of peking,453
just getting started,686807,6069605,6756412,22000000,just getting started,454
jia ru wang zi shui zhao le,828455,,828455,,jia ru wang zi shui zhao le,455
libenjyeo,20699,,20699,,libenjyeo,456
llueven vacas,4777,,4777,,llueven vacas,457
first kiss,368097,,368097,,first kiss,458
kamen raid heisei jener shonzu fainaru birudo ando eguzeido wizu rejendo raid,10289397,,10289397,,kamen raid heisei jener shonzu fainaru birudo ando eguzeido wizu rejendo raid,459
hope of road,255779,,255779,,hope of road,460
clara s ghost,,,,,clara s ghost,461
am,,,,,am,462
beongaemaenui bimil,352891,,352891,,beongaemaenui bimil,463
100 dinge,13946006,,13946006,,100 dinge,464
aquaman,808696893,335061807,1143758700,160000000,aquaman,465
jinsei fur tsu,471514,,471514,,jinsei fur tsu,466
tyrel,,21456,,,tyrel,467
mortal engines,69529231,15951040,85480271,100000000,mortal engines,468
running man,1264724,,1264724,,running man,469
life is a belief,173603,,173603,,life is a belief,470
water lilies of monet the magic of water and light,546584,,546584,,water lilies of monet the magic of water and light,471
dog 13,7448509,,7448509,,dog 13,472
waiting for me in heaven,60326,,60326,,waiting for me in heaven,473
until judge do us apart,2985,,2985,,until judge do us apart,474
vision,114150,,114150,,vision,475
tus desperdicios y otros manjares,127,,127,,tus desperdicios y otros manjares,476
slay belles,,,,,slay belles,477
i am evidence,1145,,1145,,i am evidence,478
i tonya,23782875,30014534,53797409,11000000,i tonya,479
i tonya,23782875,30014534,53797409,11000000,i tonya,31309
hollow in the land,,,,,hollow in the land,480
gogita s new life,3084,,3084,,gogita s new life,481
tiger,,,,,tiger,482
doeorak,11366235,,11366235,,doeorak,483
un giorno all improvviso,31298,,31298,,un giorno all improvviso,484
gek van geluk,1440342,,1440342,,gek van geluk,485
les gardiennes,3989872,177331,4167203,,les gardiennes,486
from the ground up,,,,,from the ground up,487
galp n de m scaras,374,,374,,galp n de m scaras,488
