year,release_date,title,genre,international_box_office,production_budget,Movie_ID
2000,May 26th,8 women,Drama,,,30009
2000,May 26th,8 women,Drama,,,30010
2000,May 24th,mission impossible 2,Action,"334178627,00","120000000,00",21506
2000,May 19th,luminous motion,Drama,,,21507
2000,May 19th,small time crooks,Comedy,"12668118,00","18000000,00",21508
2000,May 17th,young doctor freud,,,,21509
2000,May 19th,road trip,Comedy,"51213501,00","16000000,00",21510
2000,May 19th,dinosaur,Adventure,"218400000,00","127500000,00",21511
2000,May 12th,screwed,Comedy,,"12000000,00",21512
2000,May 12th,held up,Comedy,,"8000000,00",21513
2000,May 12th,hamlet,Drama,"842382,00","2000000,00",5065
2001,August 17th,hamlet,Drama,,,5065
2015,October 9th,hamlet,Concert/Performance,"5350452,00",,5065
2000,May 5th,up at the villa,Drama,"806952,00",,21514
2000,May 12th,battlefield earth a saga of the year 3000,Action,"8253978,00","80000000,00",21515
2000,May 12th,battlefield earth a saga of the year 3000,Action,"8253978,00","80000000,00",30313
2000,May 12th,coming soon,,,,21516
2000,May 5th,the new eve,,,,21517
2000,May 5th,the well,,,,21518
2000,May 5th,luminarias,Comedy,,"1000000,00",21519
2000,May 5th,michael jordan to the max,Documentary,"633949,00","7000000,00",21523
2000,May 5th,i dreamed of africa,Drama,"7748805,00","34000000,00",21524
2000,May 12th,center stage,Drama,"4160184,00","18000000,00",21550
2000,May 5th,human traffic,,"5318483,00","3300000,00",21689
2000,May 5th,divine trash,,,,21691
2000,May 5th,chal mere bhai,Romantic Comedy,,,21692
2000,May 5th,the basket,Drama,,"1300000,00",21693
2000,April 28th,where the heart is,Drama,"7090880,00","15000000,00",21694
2000,April 28th,the idiots,,"3341,00",,21695
2000,May 5th,gladiator,Action,"268751783,00","103000000,00",21696
2000,April 28th,time code,Drama,,,21697
2000,May 5th,adorenarin doraibu,Comedy,,,21698
2000,April 28th,committed,,,,21699
2000,April 28th,frequency,Thriller/Suspense,"23095967,00","31000000,00",21700
2000,April 28th,the flintstones in viva rock vegas,Adventure,"24200000,00","58000000,00",21701
2000,April 28th,bossa nova,Romantic Comedy,,,21702
2000,April 28th,the big kahuna,Drama,"563344,00",,21703
2000,April 21st,u 571,Action,"50544000,00","62000000,00",21704
2000,April 26th,la petite vendeuse de soleil,Drama,,,21705
2000,April 21st,seven girlfriends,,,,21706
2000,April 21st,the virgin suicides,Black Comedy,"5760295,00","6000000,00",21707
2000,April 21st,knockin on heaven s door,,,,21708
2000,April 21st,gossip,Drama,"7482450,00","14000000,00",21709
2000,April 21st,the last september,Drama,,,21711
2000,April 21st,love basketball,Drama,"268503,00","15000000,00",21715
2000,April 21st,love basketball,Drama,"268503,00","15000000,00",31688
2000,April 21st,love basketball,Drama,"268503,00","15000000,00",34335
2000,April 21st,from the edge of the city,,,,21834
2000,April 21st,don t let me die on a sunday,,,,21837
2000,April 19th,la otra conquista,Drama,,"3500000,00",21838
2000,April 21st,family tree,Drama,,,21839
2000,April 14th,third world cop,,,,21840
2000,April 21st,croupier,Drama,"870000,00",,21841
2000,April 14th,set me free,,,,21842
2000,April 14th,keeping the faith,Romantic Comedy,"8300000,00","29000000,00",21843
2000,April 14th,where the money is,Comedy,,,21844
2000,April 14th,gang,,,,21845
2000,April 14th,eve,,,,21846
2000,April 14th,east is east,Comedy,"26267988,00","3000000,00",21847
2000,April 14th,the girl next door,Documentary,,,15403
2007,October 3rd,the girl next door,Drama,,,15403
2004,April 9th,the girl next door,Romantic Comedy,"17045706,00","25000000,00",15403
2000,April 14th,american psycho,Black Comedy,"19200000,00","8000000,00",21848
2000,April 14th,hadh kar di aapne,,,,21849
2000,April 14th,alien adventure,Adventure,"15410295,00",,21850
2000,April 8th,shigatsu monogatari,Drama,"33352,00",,21851
2000,April 14th,28 days,Comedy,"25028457,00","43000000,00",21852
2000,April 7th,southpaw,,,,7427
2015,July 24th,southpaw,Drama,"41734503,00","30000000,00",7427
2000,April 7th,rules of engagement,Drama,"10397073,00","60000000,00",21853
2000,April 7th,this is not an exit the fictional world of bret easton ellis,,,,21854
2000,April 7th,the specialist,Documentary,,,21855
2000,April 7th,me myself i,Romantic Comedy,,,21957
2000,April 7th,me myself i,Romantic Comedy,,,31800
2000,April 7th,return to me,Romantic Comedy,,"24000000,00",21959
2000,April 7th,joe gould s secret,Drama,"745237,00",,21961
2000,April 7th,ready to rumble,Comedy,,"24000000,00",21962
2000,April 7th,east west,Drama,,,21963
2000,March 31st,the road to el dorado,Adventure,"14897339,00","95000000,00",21964
2000,March 31st,the skulls,Thriller/Suspense,,"15000000,00",21965
2000,April 5th,black and white,Drama,,"10000000,00",18873
2002,October 31st,black and white,Drama,"25415,00",,18873
2000,March 31st,price of glory,Drama,,,21966
2000,March 31st,high fidelity,Comedy,"20604608,00","20000000,00",21967
2000,March 31st,beau travail,Drama,,,21968
2000,March 29th,the filth and the fury,Documentary,,,21969
2000,March 31st,the color of paradise,Drama,,,21970
2000,March 24th,waking the dead,,,,21971
2000,March 29th,long night s journey into day,,,,21972
2000,March 24th,whatever it takes,Romantic Comedy,,"15000000,00",21973
2000,March 24th,superstar female serial killer,,,,21974
2000,March 31st,pups,Action,,,21975
2000,March 24th,sinbad beyond the veil of mists,Adventure,,,21976
2000,March 24th,tutto l amore che c,Drama,"1059622,00",,21977
2000,March 24th,here on earth,Drama,"350980,00","15000000,00",22042
2000,March 24th,buddy boy,Thriller/Suspense,,,22044
2000,March 24th,100 arabica,Musical,,,22045
2000,March 17th,winter sleepers,,,,22047
2000,March 22nd,romeo must die,Action,"35063424,00","25000000,00",22048
2000,March 17th,soft fruit,,,,22049
2000,March 17th,erin brockovich,Drama,"132256558,00","50000000,00",22050
2000,March 17th,final destination,Horror,"58734556,00","23000000,00",22051
2000,March 17th,black tar heroin the dark end of the street,Documentary,,,22052
2000,March 17th,le chal apne sang,Drama,,,22053
2000,March 17th,babymother,Drama,,,22054
2000,March 16th,the lifestyle,,,,22055
2000,March 17th,trash,,"502422,00",,14724
